iter	MAE	RMSE
0	0.6865918721	0.8445300948
5	0.6857845973	0.843778925
10	0.6851047891	0.8431630007
15	0.6844473837	0.8425880618
20	0.6834842301	0.8417456067
25	0.6829268193	0.8412904614
30	0.6819766658	0.8404831863
35	0.6809928674	0.8396898382
40	0.680139479	0.8390282798
45	0.6791996684	0.8382689125
50	0.6783629186	0.8376092578
55	0.6773492771	0.8368342405
60	0.6765384048	0.8362226364
65	0.6758214359	0.8356901302
70	0.6746831486	0.834794242
75	0.6736353308	0.8340228339
80	0.6729295223	0.8335100617
85	0.6716430828	0.8325555086
90	0.6708741543	0.8319987412
95	0.6697970248	0.831215591
100	0.6689201708	0.8305701211
105	0.6679440579	0.8298528691
110	0.6671777458	0.8293251459
115	0.666289486	0.8287046454
120	0.6652807912	0.8280016015
125	0.6645896998	0.8275055757
130	0.6636056561	0.8268145902
135	0.6625958984	0.8261364867
140	0.6612592979	0.8251964407
145	0.6599144805	0.8242713176
150	0.6589162511	0.8236245502
155	0.6581748354	0.8231046048
160	0.6571348258	0.8224187449
165	0.6563438625	0.8218975642
170	0.6552717205	0.8212110695
175	0.6541427541	0.8205143348
180	0.6530392973	0.8198254852
185	0.6524134928	0.8194231227
190	0.6516993038	0.8189892656
195	0.6511407074	0.8186139591
200	0.6504942989	0.8182054049
205	0.64945061	0.8175871906
210	0.6486802507	0.8171063063
215	0.6480600059	0.8167219756
220	0.6473916035	0.8162915658
225	0.6464042894	0.8157300623
230	0.6454598592	0.815180534
235	0.6444048463	0.8146141747
240	0.6434526488	0.8140710993
245	0.6426892801	0.8136427793
250	0.6417403122	0.8131201716
255	0.6409838115	0.8126826981
260	0.6400877435	0.8122135569
265	0.6392730692	0.8117672855
270	0.6382141726	0.8112136365
275	0.6376308433	0.8108990368
280	0.6369420005	0.8105171597
285	0.6362061037	0.8101056827
290	0.6354367256	0.8096886953
295	0.634867909	0.8093514048
300	0.6339847184	0.8089230873
305	0.6335433275	0.8086407865
310	0.6328610665	0.808252127
315	0.6321985509	0.8079148945
320	0.6316529956	0.8076145249
325	0.6310612857	0.807288572
330	0.6305541175	0.8070262409
335	0.6300830471	0.8067614935
340	0.6293585152	0.8063962878
345	0.6287295628	0.8060935265
350	0.6281758313	0.8057930106
355	0.6275909894	0.805457464
360	0.6271678723	0.8052027104
365	0.6267755385	0.8050087929
370	0.626332962	0.804736219
375	0.6257510636	0.8044459443
380	0.6252772133	0.8041841092
385	0.6248188977	0.8039101624
390	0.6244565296	0.8036923822
395	0.6240101921	0.8034835743
400	0.6235264895	0.8032377884
405	0.6231112215	0.8029794796
410	0.6225908896	0.8027077954
415	0.622280522	0.8024513793
420	0.621852908	0.80223091
425	0.6214335928	0.8020191984
430	0.6210968161	0.8018023833
435	0.6207541116	0.8015941795
440	0.6204655744	0.8014405798
445	0.6201343575	0.8012424864
450	0.6198657701	0.8010633797
455	0.6195919908	0.800894697
460	0.6192643714	0.8007274593
465	0.6189257551	0.8005267382
470	0.6186493186	0.8003749258
475	0.6183949577	0.8002360094
480	0.6180603068	0.8000764773
485	0.6177022312	0.7998875779
490	0.6175008111	0.7997491135
495	0.6172473905	0.7995696211
500	0.6168667895	0.7993798092
505	0.616618479	0.7992452721
510	0.6165232674	0.7991747852
515	0.6162738941	0.7990369648
520	0.6159993381	0.7989010652
525	0.6158275566	0.7988050107
530	0.6155901613	0.7986717844
535	0.6154162132	0.7985710182
540	0.6152455355	0.7984680378
545	0.6149537686	0.7983075892
550	0.6147521441	0.7981904646
555	0.6145344125	0.7980520388
560	0.6142944009	0.7978862035
565	0.6141515222	0.7977928452
570	0.6139725048	0.7976909943
575	0.6138209594	0.7975701143
580	0.6136348287	0.7974793334
585	0.6133854145	0.7973370669
590	0.6132610548	0.7972197228
595	0.6130604932	0.797086129
600	0.612907844	0.796988317
605	0.612765415	0.7968626875
610	0.6126334924	0.7967604355
615	0.6124359151	0.7966296385
620	0.6122984327	0.7965137042
625	0.6121239122	0.7964088922
630	0.6119461622	0.7962689758
635	0.6117573743	0.7961560443
640	0.611585184	0.7960323891
645	0.6114560822	0.7959539649
650	0.6112813164	0.7958629997
655	0.611120491	0.7957546855
660	0.6109425365	0.7956220532
665	0.610800966	0.7955271188
670	0.6106912009	0.7954545036
675	0.6105670047	0.7953273983
680	0.6104548276	0.7952534027
685	0.61033799	0.7951314837
690	0.6102220927	0.7950555931
695	0.6101076672	0.7949800037
700	0.6100029303	0.7949117871
705	0.609927873	0.7948617459
710	0.6097756735	0.7946922098
715	0.6095823478	0.7944904013
720	0.6094551265	0.7944138319
725	0.609360242	0.7943552677
730	0.6092729613	0.7942895452
735	0.6091420607	0.7941439532
740	0.6090756293	0.7940890759
745	0.6090380598	0.7940520856
750	0.6089578924	0.7939952453
755	0.6088199194	0.7939139166
760	0.6086905723	0.793803534
765	0.6086200528	0.7937414998
770	0.6084825295	0.7936706529
775	0.6084087804	0.7935953695
780	0.6083133644	0.7935311553
785	0.6082352819	0.7934622474
790	0.6081447307	0.7933564396
795	0.6080858623	0.7933154472
800	0.6080064716	0.7932217055
805	0.6079322319	0.7931692641
810	0.6078120013	0.7930632368
815	0.6077257835	0.793003181
820	0.6076728019	0.7929340468
825	0.607595864	0.7928796786
830	0.6074813976	0.7927801874
835	0.6074024975	0.7927315329
840	0.6073438743	0.7926544325
845	0.6072211499	0.7925700261
850	0.6071393063	0.7925026596
855	0.6070711988	0.7924407815
860	0.6070284374	0.7924112207
865	0.6069665437	0.7923415963
870	0.6068421841	0.7922637098
875	0.6067491801	0.7921867187
880	0.6066900255	0.7921479107
885	0.6066211003	0.7921040946
890	0.6065311215	0.7919929178
895	0.6064657938	0.7919177846
900	0.6064426961	0.7918873009
905	0.606347689	0.7917974431
910	0.6062585686	0.7917361296
